شعبه,آیتم منو,وضعیت,انتظار 28 روز,حداقل,حداکثر,پیشنهاد سفارش,میانگین روزانه,نسبت روزهای فروش,روز سابقه,روز از آخرین فروش
Roma Thai,پاستا پستو,کم‌فروش,7.6,4.0,11.0,8.0,0.27,23.0,74,0
Roma Thai,پاستا بولونز,کم‌فروش,7.3,3.0,11.0,8.0,0.26,23.0,73,1
Roma Thai,نودل سوپ مرغ,کم‌فروش,7.0,3.0,11.0,7.0,0.25,21.0,72,2
Roma Thai,برنج بخارپز,کم‌فروش,6.4,4.0,9.0,7.0,0.23,20.0,74,0
Roma Thai,پاستا کربونارا,کم‌فروش,5.0,1.0,9.0,5.0,0.18,15.0,73,1
Roma Thai,برنج سرخ شده با گوشت سبزیجات,کم‌فروش,4.9,2.0,7.0,5.0,0.18,18.0,74,0
Roma Thai,نودل سرخ شده با میگوسبزیجات,⚠ جدید — سابقه کوتاه,4.9,2.0,8.0,8.0,0.18,15.0,34,40
Roma Thai,برنج سرخ شده با میگو سبزیجات,کم‌فروش,4.8,4.0,6.0,5.0,0.17,17.0,70,4
Roma Thai,سس چیکن استراگانف,⚠ جدید — سابقه کوتاه,4.7,3.0,6.0,6.0,0.17,30.0,23,51
Roma Thai,اضافات 2,کم‌فروش,4.4,1.0,7.0,5.0,0.16,9.0,64,10
Roma Thai,سس چیکن یلوکاری,⚠ جدید — سابقه کوتاه,4.3,3.0,5.0,5.0,0.15,36.0,11,63
Roma Thai,پاستا سبزیجات,کم‌فروش,4.1,2.0,6.0,5.0,0.14,14.0,69,5
Roma Thai,سس چیکن تریاکی,⚠ جدید — سابقه کوتاه,3.8,3.0,5.0,5.0,0.14,22.0,23,51
Roma Thai,پاستا اربیاتا,کم‌فروش,3.2,0.0,6.0,4.0,0.11,11.0,71,3
Roma Thai,نودل سرخ شده با گوشت و سبزیجات,کم‌فروش,3.0,0.0,6.0,3.0,0.11,9.0,65,9
Roma Thai,پنینی بیکن,کم‌فروش,2.8,0.0,7.0,3.0,0.1,9.0,74,0
Roma Thai,دلستر شیشه ای هی دی استوایی,کم‌فروش,2.0,0.0,4.0,2.0,0.07,5.0,57,17
Roma Thai,راک شریمپ,کم‌فروش,1.6,0.0,3.0,2.0,0.06,6.0,70,4
SPO Royal,فرنی,پرحجم پراکنده,44.6,32.0,57.0,45.0,1.59,31.0,72,2
SPO Royal,آب طالبی,⚠ جدید — سابقه کوتاه,34.2,29.0,40.0,40.0,1.22,48.0,27,4
SPO Royal,کاچی,پرحجم پراکنده,29.2,20.0,39.0,30.0,1.04,19.0,74,0
SPO Royal,چای دارچین,پرحجم پراکنده,29.1,14.0,44.0,30.0,1.04,35.0,74,0
SPO Royal,باقالی پلو دوپرسی,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,38
SPO Royal,پاکت نان رویال,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,1
SPO Royal,دوغ,کم‌فروش,25.0,14.0,36.0,25.0,0.89,35.0,66,8
SPO Royal,شربت بهار نارنج,کم‌فروش,21.2,9.0,33.0,22.0,0.76,34.0,74,0
SPO Royal,بستنی سنتی زعفرانی,کم‌فروش,18.8,8.0,30.0,19.0,0.67,30.0,73,1
SPO Royal,موهیتو با آب سیب,کم‌فروش,18.7,5.0,32.0,19.0,0.67,31.0,72,2
SPO Royal,کنافه بستنی,کم‌فروش,17.9,0.0,44.0,18.0,0.64,4.0,69,5
SPO Royal,مسقطی,کم‌فروش,17.8,8.0,27.0,18.0,0.63,13.0,70,4
SPO Royal,شربت بیدمشک,کم‌فروش,17.4,4.0,30.0,18.0,0.62,28.0,74,0
SPO Royal,آب هندوانه,کم‌فروش,17.3,7.0,28.0,18.0,0.62,29.0,73,1
SPO Royal,شیربرنج,کم‌فروش,17.0,9.0,25.0,17.0,0.61,14.0,74,0
SPO Royal,ماهیچه بدون برنج,کم‌فروش,17.0,6.0,28.0,17.0,0.61,32.0,74,0
SPO Royal,باقلوا لبنانی,⚠ راکد — بیش از ۳ هفته بی‌فروش,16.8,4.0,29.0,29.0,0.6,26.0,35,39
SPO Royal,قارچ بلانچ شده,کم‌فروش,15.9,11.0,20.0,16.0,0.57,27.0,71,3
SPO Royal,گل تولد,کم‌فروش,14.2,9.0,19.0,15.0,0.51,32.0,71,3
SPO Royal,دمنوش نعناع,کم‌فروش,14.0,0.0,32.0,14.0,0.5,8.0,72,2
SPO Royal,آب سیب کرفس,کم‌فروش,11.3,2.0,21.0,12.0,0.4,19.0,72,2
SPO Royal,ته دیگ,کم‌فروش,10.6,7.0,15.0,11.0,0.38,32.0,74,0
SPO Royal,چلوکره دوپرسی,کم‌فروش,10.5,3.0,18.0,11.0,0.38,18.0,72,2
SPO Royal,سبزی پلو,کم‌فروش,9.9,6.0,14.0,10.0,0.35,27.0,71,3
SPO Royal,دیس باقالی پلو دوپرسی,⚠ جدید — سابقه کوتاه,9.3,6.0,13.0,13.0,0.33,17.0,12,12
SPO Royal,نان اضافه,کم‌فروش,9.2,1.0,18.0,10.0,0.33,10.0,73,1
SPO Royal,شربت سکنجبین با خیار,کم‌فروش,8.8,3.0,15.0,9.0,0.32,21.0,57,17
SPO Royal,میرزا قاسمی,کم‌فروش,8.2,0.0,16.0,9.0,0.29,14.0,72,2
SPO Royal,سبزی پلو با ماهی قزل آلا,کم‌فروش,7.4,4.0,11.0,8.0,0.26,21.0,72,2
SPO Royal,خوراک گوشت گردن بره,کم‌فروش,7.0,4.0,10.0,7.0,0.25,21.0,72,2
SPO Royal,نان و پنیروگردو با سبزی خوردن,کم‌فروش,7.0,2.0,12.0,7.0,0.25,15.0,72,2
SPO Royal,آب گریپ فروت,کم‌فروش,6.8,0.0,14.0,7.0,0.24,14.0,74,0
SPO Royal,چلو فسنجان با مرغ,کم‌فروش,6.8,2.0,12.0,7.0,0.24,16.0,62,12
SPO Royal,باقالی پلو با ماهیچه,کم‌فروش,6.1,3.0,9.0,7.0,0.22,14.0,64,10
SPO Royal,میکس پرتقال و گریپ فروت,کم‌فروش,5.8,1.0,10.0,6.0,0.21,18.0,72,2
SPO Royal,آب کرفس لیمو,کم‌فروش,5.7,0.0,12.0,6.0,0.2,12.0,74,0
SPO Royal,زرده تخم مرغ,کم‌فروش,4.7,3.0,7.0,5.0,0.17,11.0,72,2
SPO Royal,سبزی خوردن,کم‌فروش,4.7,0.0,9.0,5.0,0.17,11.0,72,2
SPO Royal,بستنی وانیلی,کم‌فروش,4.5,0.0,9.0,5.0,0.16,12.0,69,5
SPO Royal,بستنی شکلاتی,کم‌فروش,4.3,1.0,8.0,5.0,0.15,10.0,71,3
SPO Royal,جوجه کباب فیله,⚠ جدید — سابقه کوتاه,4.0,3.0,5.0,5.0,0.14,14.0,7,67
SPO Royal,دیس باقالی پلو دو پرسی,⚠ جدید — سابقه کوتاه,3.7,2.0,6.0,6.0,0.13,10.0,30,44
SPO Royal,آب پرتقال کرفس,کم‌فروش,3.5,0.0,9.0,4.0,0.12,6.0,72,2
SPO Royal,دمنوش گل گاو زبان,کم‌فروش,3.5,0.0,8.0,4.0,0.12,6.0,72,2
SPO Royal,هدیه کودک رویال,⚠ جدید — سابقه کوتاه,3.5,2.0,5.0,5.0,0.12,12.0,8,66
SPO Royal,حریره سیر,کم‌فروش,3.3,0.0,6.0,4.0,0.12,12.0,69,5
SPO Royal,چای زنجبیل,کم‌فروش,3.2,0.0,9.0,4.0,0.11,3.0,71,3
SPO Royal,میکس گل گاو زبان و سنبل الطیب و لیمو عمانی,کم‌فروش,3.0,0.0,9.0,3.0,0.11,3.0,74,0
SPO Royal,دمنوش مخلوط گیاهی,کم‌فروش,2.7,0.0,7.0,3.0,0.1,3.0,72,2
SPO Royal,دلستر شیشه ای هی دی استوایی,کم‌فروش,2.3,0.0,5.0,3.0,0.08,4.0,72,2
SPO Royal,آب کرفس,کم‌فروش,1.9,0.0,4.0,2.0,0.07,7.0,72,2
SPO Royal,دمنوش زنجبیل دارچین زغفران هل,کم‌فروش,1.9,0.0,6.0,2.0,0.07,1.0,72,2
SPO Royal,قهوه ترک,⚠ جدید — سابقه کوتاه,1.9,1.0,3.0,3.0,0.07,7.0,29,3
SPO Royal,لته,کم‌فروش,1.9,0.0,5.0,2.0,0.07,4.0,74,0
SPO Royal,اسپرسو double,کم‌فروش,1.6,0.0,4.0,2.0,0.06,3.0,72,2
SPO Royal,امریکانو,کم‌فروش,1.6,0.0,4.0,2.0,0.06,4.0,72,2
SPO Royal,خوراک ماهیچه,⚠ راکد — بیش از ۳ هفته بی‌فروش,1.1,0.0,2.0,2.0,0.04,4.0,50,24
SPO Royal,کاپوچینو,کم‌فروش,0.8,0.0,2.0,1.0,0.03,1.0,71,3
SPO Royal,دیس میوه فصل,⚠ راکد — بیش از ۳ هفته بی‌فروش,0.7,0.0,2.0,2.0,0.02,2.0,42,32
express,سوپ بلغور 400cc,پرحجم پراکنده,170.1,116.0,224.0,171.0,6.07,32.0,68,6
express,لیموناد قوطی خوشگوار,⚠ جدید — سابقه کوتاه,169.8,141.0,199.0,199.0,6.06,94.0,16,0
express,کتلت گوشت عددی,پرحجم پراکنده,155.0,102.0,208.0,155.0,5.53,38.0,73,1
express,آش رشته 400cc,پرحجم پراکنده,140.8,105.0,177.0,141.0,5.03,29.0,72,2
express,سوپ ورمیشل400cc,⚠ راکد — بیش از ۳ هفته بی‌فروش,75.3,28.0,123.0,123.0,2.69,17.0,42,32
express,سوپ شیر 400cc,پرحجم پراکنده,57.9,16.0,100.0,58.0,2.07,9.0,74,0
express,ته چین شیرازی,پرحجم پراکنده,55.6,34.0,77.0,56.0,1.99,34.0,71,3
express,خورش گوجه سبز,⚠ راکد — بیش از ۳ هفته بی‌فروش,49.8,22.0,78.0,78.0,1.78,24.0,45,29
express,ماهی شکم پر,پرحجم پراکنده,48.6,35.0,62.0,49.0,1.74,33.0,72,2
express,آب قلم,⚠ جدید — سابقه کوتاه,45.2,21.0,70.0,70.0,1.61,42.0,24,50
express,آش رشته,پرحجم پراکنده,43.0,26.0,60.0,43.0,1.54,18.0,73,1
express,خوراک زبان,پرحجم پراکنده,39.7,26.0,53.0,40.0,1.42,34.0,74,0
express,خورش چاقاله بادام,⚠ راکد — بیش از ۳ هفته بی‌فروش,37.1,9.0,66.0,66.0,1.33,22.0,46,28
express,چلو خورش فسنجان با گوشت قل قلی,پرحجم پراکنده,36.1,11.0,61.0,37.0,1.29,29.0,73,1
express,چلو خورش فسنجان با مرغ,پرحجم پراکنده,35.7,0.0,74.0,36.0,1.27,22.0,73,1
express,دلستر شیشه ای افس کلاسیک,پرحجم پراکنده,32.2,0.0,69.0,33.0,1.15,24.0,74,0
express,باربیکن شیشه ای لیمویی,پرحجم پراکنده,28.4,0.0,66.0,29.0,1.01,18.0,74,0
express,سوپ بلغور,پرحجم پراکنده,28.4,16.0,40.0,29.0,1.01,24.0,70,4
express,شامی پوک عددی,پرحجم پراکنده,28.4,0.0,68.0,29.0,1.01,9.0,74,0
express,چلو خورش مسمی با گوشت,کم‌فروش,24.8,0.0,59.0,25.0,0.89,10.0,70,4
express,کوکو گردو,کم‌فروش,20.6,15.0,26.0,21.0,0.74,28.0,72,2
express,مرغ شکم پر,کم‌فروش,17.4,13.0,22.0,18.0,0.62,15.0,71,3
express,کباب دیگی,کم‌فروش,17.2,3.0,32.0,18.0,0.61,11.0,70,4
express,چلو خورش بامیه,⚠ جدید — سابقه کوتاه,15.1,6.0,24.0,24.0,0.54,15.0,13,61
express,سبزی پلو با ماهی قزل آلا,کم‌فروش,13.8,6.0,21.0,14.0,0.49,32.0,73,1
express,کباب سلطانی,کم‌فروش,13.6,7.0,21.0,14.0,0.49,32.0,72,2
express,شیرین پلو با مرغ,کم‌فروش,9.8,6.0,14.0,10.0,0.35,28.0,74,0
express,خورش سیب و آلبالو,⚠ راکد — بیش از ۳ هفته بی‌فروش,8.9,0.0,22.0,22.0,0.32,5.0,44,30
express,کتلت,کم‌فروش,7.4,0.0,15.0,8.0,0.26,6.0,72,2
express,خورش مسمی با گوشت,کم‌فروش,7.2,0.0,17.0,8.0,0.26,10.0,70,4
express,مرغ لونگی,⚠ جدید — سابقه کوتاه,7.2,2.0,12.0,12.0,0.26,16.0,31,2
express,گردن گوسفندی,کم‌فروش,6.4,4.0,9.0,7.0,0.23,23.0,66,8
express,خورش به و آلبالو,⚠ راکد — بیش از ۳ هفته بی‌فروش,6.2,1.0,12.0,12.0,0.22,6.0,36,38
express,کباب کوبیده لقمه,کم‌فروش,6.1,0.0,13.0,7.0,0.22,9.0,74,0
express,خورش فسنجان با گوشت قل قلی,کم‌فروش,5.5,1.0,10.0,6.0,0.2,12.0,66,8
express,شیرین پلو,کم‌فروش,5.3,3.0,8.0,6.0,0.19,15.0,74,0
express,مواد شیرین پلو,⚠ جدید — سابقه کوتاه,5.1,1.0,9.0,9.0,0.18,9.0,11,63
express,سوپ ورمیشل,⚠ راکد — بیش از ۳ هفته بی‌فروش,4.9,0.0,10.0,10.0,0.18,5.0,42,32
express,گوجه کبابی,⚠ راکد — بیش از ۳ هفته بی‌فروش,4.8,3.0,7.0,7.0,0.17,17.0,52,22
express,فلفل کبابی دوعدد,کم‌فروش,4.1,1.0,7.0,5.0,0.15,13.0,55,19
express,سس اکبر جوجه,کم‌فروش,3.5,2.0,5.0,4.0,0.12,12.0,72,2
express,سوپ شیر,کم‌فروش,3.0,0.0,6.0,3.0,0.11,5.0,64,10
express,زرشک,کم‌فروش,2.7,1.0,5.0,3.0,0.1,10.0,73,1
express,گوشت قلقلی,کم‌فروش,2.6,0.0,6.0,3.0,0.09,5.0,64,10
express,پاچینی با سس تارتار,⚠ راکد — بیش از ۳ هفته بی‌فروش,2.0,0.0,4.0,4.0,0.07,5.0,43,31
express,چلو خورش سیب و آلبالو,⚠ راکد — بیش از ۳ هفته بی‌فروش,1.9,0.0,5.0,5.0,0.07,5.0,44,30
express,ته دیگ زعفرانی پرسی 6تکه,کم‌فروش,1.6,0.0,3.0,2.0,0.06,6.0,70,4
express,سوپ قارچ400cc,⚠ جدید — سابقه کوتاه,1.6,0.0,3.0,3.0,0.06,6.0,18,56
express,چلو خورش به آلبالو,⚠ راکد — بیش از ۳ هفته بی‌فروش,1.6,0.0,4.0,4.0,0.06,3.0,36,38
express,جوجه کباب,کم‌فروش,1.5,0.0,3.0,2.0,0.05,5.0,74,0
express,کوکوگردو,کم‌فروش,1.5,0.0,4.0,2.0,0.05,3.0,74,0
express,دلستر شیشه ای هی دی استوایی,کم‌فروش,1.0,0.0,3.0,1.0,0.04,2.0,55,19
express,دلستر شیشه ای هی دی لیمویی,⚠ راکد — بیش از ۳ هفته بی‌فروش,0.6,0.0,2.0,2.0,0.02,2.0,49,25
لیبرو باملند,سوپ ذرت,⚠ جدید — سابقه کوتاه,112.0,107.0,117.0,117.0,4.0,100.0,1,47
لیبرو باملند,کوکی تایلندی,⚠ جدید — سابقه کوتاه,84.0,80.0,88.0,88.0,3.0,100.0,1,60
لیبرو باملند,بیکن,منظم,52.3,38.0,66.0,53.0,1.87,71.0,38,0
لیبرو باملند,اسپرایت,پرحجم پراکنده,48.6,19.0,78.0,49.0,1.73,45.0,64,2
لیبرو باملند,نوستالژی,منظم,47.9,42.0,54.0,48.0,1.71,71.0,38,0
لیبرو باملند,پپرونی,منظم,44.6,29.0,60.0,45.0,1.59,76.0,37,1
لیبرو باملند,مرغ و اسفناج,منظم,43.1,33.0,53.0,44.0,1.54,70.0,37,2
لیبرو باملند,آب جوش,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,49
لیبرو باملند,سس سزار,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,72
لیبرو باملند,سینامون دولچه لاته,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,25
لیبرو باملند,شوکت فندق,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,21
لیبرو باملند,عسل ساشه,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,73
لیبرو باملند,لیمو ترش اضافه,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,73
لیبرو باملند,ماچا ماکیاتو پسته,⚠ جدید — سابقه کوتاه,28.0,27.0,29.0,29.0,1.0,100.0,1,50
لیبرو باملند,شیک نوتلا,کم‌فروش,22.5,13.0,32.0,23.0,0.8,38.0,71,2
لیبرو باملند,تاکینو پستو,⚠ جدید — سابقه کوتاه,21.5,15.0,28.0,28.0,0.77,46.0,26,11
لیبرو باملند,مسکو,منظم,20.2,15.0,26.0,21.0,0.72,53.0,36,2
لیبرو باملند,لیموناد رگولار,کم‌فروش,19.2,10.0,29.0,20.0,0.69,33.0,70,1
لیبرو باملند,سینه مرغ گریل,⚠ جدید — سابقه کوتاه,18.7,19.0,19.0,19.0,0.67,67.0,3,2
لیبرو باملند,اسپرسو دبل,کم‌فروش,17.4,11.0,24.0,18.0,0.62,34.0,71,3
لیبرو باملند,مارگاریتا,کم‌فروش,16.3,12.0,21.0,17.0,0.58,36.0,36,2
لیبرو باملند,تیرامیسو,کم‌فروش,13.8,12.0,16.0,14.0,0.49,39.0,61,0
لیبرو باملند,لاو,کم‌فروش,12.9,9.0,16.0,13.0,0.46,38.0,37,2
لیبرو باملند,آفوگاتو,کم‌فروش,12.1,6.0,19.0,13.0,0.43,24.0,72,2
لیبرو باملند,هات چاکلت,کم‌فروش,12.0,5.0,19.0,12.0,0.43,29.0,70,4
لیبرو باملند,رپ سزار,کم‌فروش,11.8,6.0,18.0,12.0,0.42,32.0,71,3
لیبرو باملند,قهوه ترک,کم‌فروش,11.8,6.0,18.0,12.0,0.42,23.0,64,10
لیبرو باملند,هندوانه یخ,کم‌فروش,11.4,8.0,15.0,12.0,0.41,32.0,37,2
لیبرو باملند,بنفی پای,⚠ جدید — سابقه کوتاه,11.2,11.0,11.0,11.0,0.4,40.0,5,21
لیبرو باملند,تعویض سری نرمال,⚠ جدید — سابقه کوتاه,11.2,9.0,14.0,14.0,0.4,40.0,5,13
لیبرو باملند,فیلی چیز استیک,⚠ جدید — سابقه کوتاه,11.2,7.0,16.0,16.0,0.4,33.0,15,3
لیبرو باملند,پرتقال نعنا,⚠ جدید — سابقه کوتاه,11.2,9.0,14.0,14.0,0.4,33.0,15,16
لیبرو باملند,آیس لاته,کم‌فروش,11.1,6.0,17.0,12.0,0.4,31.0,68,5
لیبرو باملند,منگو پشن فروت اسموتی,کم‌فروش,10.6,5.0,16.0,11.0,0.38,28.0,71,2
لیبرو باملند,رول دارچین,⚠ جدید — سابقه کوتاه,10.5,8.0,13.0,13.0,0.38,38.0,16,58
لیبرو باملند,کال ساندیا فرسکا,کم‌فروش,10.5,7.0,14.0,11.0,0.38,31.0,64,2
لیبرو باملند,تارت توت فرنگی,⚠ جدید — سابقه کوتاه,10.1,9.0,11.0,11.0,0.36,28.0,25,2
لیبرو باملند,چیز کیک نیویورکی کارامل,کم‌فروش,10.1,7.0,13.0,11.0,0.36,31.0,61,0
لیبرو باملند,برانی شکلات,⚠ جدید — سابقه کوتاه,9.9,5.0,14.0,14.0,0.35,18.0,17,57
لیبرو باملند,پاریس برست پسته,کم‌فروش,9.5,8.0,11.0,10.0,0.34,27.0,62,1
لیبرو باملند,کاپوچینو,کم‌فروش,9.5,4.0,15.0,10.0,0.34,20.0,74,0
لیبرو باملند,آب هندوانه,کم‌فروش,9.2,3.0,16.0,10.0,0.33,21.0,61,2
لیبرو باملند,ساندویچ شنیسل مرغ,کم‌فروش,9.0,5.0,13.0,9.0,0.32,26.0,65,9
لیبرو باملند,اسپرسو سینگل,کم‌فروش,8.8,6.0,12.0,9.0,0.31,19.0,64,10
لیبرو باملند,آروماتیک,کم‌فروش,8.7,4.0,14.0,9.0,0.31,21.0,71,3
لیبرو باملند,جینجر موهیتو,کم‌فروش,8.5,6.0,11.0,9.0,0.3,22.0,69,0
لیبرو باملند,تارت بادام,کم‌فروش,8.4,5.0,11.0,9.0,0.3,27.0,67,1
لیبرو باملند,فراپاچینو,کم‌فروش,8.2,4.0,13.0,9.0,0.29,18.0,51,6
لیبرو باملند,موس شکلات مخملی,کم‌فروش,8.2,4.0,12.0,9.0,0.29,24.0,58,2
لیبرو باملند,موس وانیل آلبالو,⚠ جدید — سابقه کوتاه,8.2,7.0,10.0,10.0,0.29,29.0,24,9
لیبرو باملند,آدامس دارچین,⚠ جدید — سابقه کوتاه,7.8,6.0,9.0,9.0,0.28,28.0,25,3
لیبرو باملند,شیک بادام زمینی,کم‌فروش,7.8,5.0,11.0,8.0,0.28,25.0,68,6
لیبرو باملند,لیموناد لوندر,کم‌فروش,7.6,2.0,13.0,8.0,0.27,16.0,70,2
لیبرو باملند,ساندویچ ژامبون,کم‌فروش,7.2,5.0,10.0,8.0,0.26,21.0,70,2
لیبرو باملند,سالاد لیبرتی,⚠ جدید — سابقه کوتاه,7.0,5.0,9.0,9.0,0.25,25.0,12,13
لیبرو باملند,ایتالین سودا,کم‌فروش,6.9,3.0,11.0,7.0,0.25,18.0,61,2
لیبرو باملند,تارت شکلات,کم‌فروش,6.7,5.0,8.0,7.0,0.24,19.0,42,21
لیبرو باملند,چیاباتای بیکن و گودا,کم‌فروش,6.6,3.0,11.0,7.0,0.24,19.0,59,13
لیبرو باملند,هات چاکلت فندق,کم‌فروش,6.5,1.0,12.0,7.0,0.23,19.0,73,1
لیبرو باملند,آب پرتقال,کم‌فروش,6.3,3.0,10.0,7.0,0.23,17.0,71,3
لیبرو باملند,سودا,کم‌فروش,6.1,2.0,11.0,7.0,0.22,14.0,73,1
لیبرو باملند,اپل پارادایس,⚠ راکد — بیش از ۳ هفته بی‌فروش,6.0,3.0,9.0,9.0,0.22,14.0,51,23
لیبرو باملند,آیس امریکانو,کم‌فروش,5.4,1.0,9.0,6.0,0.19,15.0,72,2
لیبرو باملند,دوسیب آلبالو,⚠ جدید — سابقه کوتاه,5.3,3.0,7.0,7.0,0.19,19.0,21,9
لیبرو باملند,شات شیر,⚠ جدید — سابقه کوتاه,5.1,4.0,7.0,7.0,0.18,18.0,11,30
لیبرو باملند,وایت چاکلت,⚠ راکد — بیش از ۳ هفته بی‌فروش,5.0,2.0,8.0,8.0,0.18,16.0,45,29
لیبرو باملند,دو سیب,⚠ جدید — سابقه کوتاه,4.9,2.0,8.0,8.0,0.18,15.0,34,5
لیبرو باملند,رپ فلافل,کم‌فروش,4.7,2.0,7.0,5.0,0.17,15.0,65,9
لیبرو باملند,آووکادو و انجیر,⚠ جدید — سابقه کوتاه,4.5,2.0,7.0,7.0,0.16,13.0,31,17
لیبرو باملند,کروسان باقلوا پسته,کم‌فروش,4.4,2.0,7.0,5.0,0.16,14.0,57,2
لیبرو باملند,لمون گرس جینجر,کم‌فروش,4.1,2.0,6.0,5.0,0.15,15.0,41,1
لیبرو باملند,کارامل ماکیاتو,کم‌فروش,4.0,2.0,6.0,4.0,0.14,13.0,70,4
لیبرو باملند,سبز جسمین,کم‌فروش,3.9,2.0,6.0,4.0,0.14,14.0,36,16
لیبرو باملند,پنه پستو,کم‌فروش,3.9,2.0,6.0,4.0,0.14,12.0,65,9
لیبرو باملند,آیس سینامون دولچه لاته,⚠ جدید — سابقه کوتاه,3.7,2.0,5.0,5.0,0.13,13.0,23,3
لیبرو باملند,سوییت لمون,کم‌فروش,3.4,1.0,5.0,4.0,0.12,11.0,65,9
لیبرو باملند,چای ماسالا,کم‌فروش,3.2,1.0,5.0,4.0,0.12,10.0,69,5
لیبرو باملند,بیسکو اسپرسو,کم‌فروش,3.1,1.0,5.0,4.0,0.11,11.0,54,12
لیبرو باملند,پنه اربیاتا,⚠ جدید — سابقه کوتاه,2.7,0.0,5.0,5.0,0.1,10.0,31,6
لیبرو باملند,اسپرسو ماکیاتو,کم‌فروش,2.4,1.0,4.0,3.0,0.09,9.0,58,16
لیبرو باملند,وافل و میوه های تازه,کم‌فروش,2.4,0.0,5.0,3.0,0.09,6.0,69,5
لیبرو باملند,ماروچینو,کم‌فروش,2.3,0.0,4.0,3.0,0.08,6.0,62,12
لیبرو باملند,سیروپ اضافه,کم‌فروش,2.2,0.0,4.0,3.0,0.08,6.0,64,10
لیبرو باملند,کویین بری,⚠ جدید — سابقه کوتاه,2.2,1.0,4.0,4.0,0.08,8.0,26,43
لیبرو باملند,سس قارچ,⚠ جدید — سابقه کوتاه,1.9,0.0,3.0,3.0,0.07,7.0,30,1
لیبرو باملند,لیوان شیر,⚠ جدید — سابقه کوتاه,1.8,0.0,3.0,3.0,0.06,6.0,31,43
لیبرو باملند,گلدن وانیلا,⚠ جدید — سابقه کوتاه,1.4,0.0,3.0,3.0,0.05,5.0,20,54
لیبرو باملند,بیسکولاته,⚠ جدید — سابقه کوتاه,0.9,0.0,2.0,2.0,0.03,3.0,30,44
چیکن فکتوری ایرانمال,کوکا قوطی,پرحجم پراکنده,98.8,0.0,252.0,99.0,3.53,39.0,72,2
چیکن فکتوری ایرانمال,لیموناد قوطی خوشگوار,⚠ جدید — سابقه کوتاه,77.5,65.0,90.0,90.0,2.77,77.0,13,0
چیکن فکتوری ایرانمال,سوخاری 2تکه,پرحجم پراکنده,37.5,17.0,58.0,38.0,1.34,38.0,74,0
چیکن فکتوری ایرانمال,موهیتو قوطی ماتادور,پرحجم پراکنده,36.2,19.0,54.0,37.0,1.29,38.0,72,2
چیکن فکتوری ایرانمال,ساندویچ مرغ با سس پستو,پرحجم پراکنده,32.2,12.0,52.0,33.0,1.15,38.0,74,0
چیکن فکتوری ایرانمال,آب پرتقال,پرحجم پراکنده,28.4,12.0,45.0,29.0,1.01,37.0,73,1
چیکن فکتوری ایرانمال,دلستر لیوانی,پرحجم پراکنده,28.4,1.0,56.0,29.0,1.01,21.0,72,2
چیکن فکتوری ایرانمال,سوخاری 5تکه,کم‌فروش,27.2,11.0,44.0,28.0,0.97,33.0,73,1
چیکن فکتوری ایرانمال,سالاد فرانسوی,کم‌فروش,26.1,8.0,44.0,27.0,0.93,37.0,73,1
چیکن فکتوری ایرانمال,نان لقمه اضافه,کم‌فروش,24.2,12.0,36.0,25.0,0.86,30.0,74,0
چیکن فکتوری ایرانمال,باربیکن شیشه ای لیمویی,کم‌فروش,23.8,0.0,52.0,24.0,0.85,20.0,74,0
چیکن فکتوری ایرانمال,ساندویچ مرغ با سس تندوری,کم‌فروش,23.0,8.0,38.0,23.0,0.82,36.0,73,1
چیکن فکتوری ایرانمال,هات وینگز با سس سیر و فلفل,کم‌فروش,20.6,7.0,34.0,21.0,0.74,36.0,72,2
چیکن فکتوری ایرانمال,سوخاری 3تکه اسپایسی,کم‌فروش,19.7,7.0,32.0,20.0,0.7,34.0,74,0
چیکن فکتوری ایرانمال,مرغ یونانی با سس تزاتزیک,کم‌فروش,19.1,9.0,30.0,20.0,0.68,38.0,72,2
چیکن فکتوری ایرانمال,باربیکن شیشه ای استوایی,کم‌فروش,18.2,0.0,42.0,19.0,0.65,15.0,74,0
چیکن فکتوری ایرانمال,کمبو فیله استریپس,کم‌فروش,17.8,7.0,29.0,18.0,0.64,30.0,74,0
چیکن فکتوری ایرانمال,اسپرایت قوطی,کم‌فروش,17.4,0.0,39.0,18.0,0.62,16.0,58,16
چیکن فکتوری ایرانمال,گرین سالاد,کم‌فروش,15.9,7.0,25.0,16.0,0.57,29.0,72,2
چیکن فکتوری ایرانمال,هات وینگز با سس انار,کم‌فروش,13.8,6.0,21.0,14.0,0.49,33.0,73,1
چیکن فکتوری ایرانمال,پیتزا سبزیجات,کم‌فروش,13.6,5.0,22.0,14.0,0.49,26.0,72,2
